Name,Image,VFX,VFX Type,DIY,Buy,Sell,Source,Source Notes,Catalog,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,Color 1,Color 2,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Version,Filename,Internal ID
abstract wall,,No,NA,No,3000,390,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,White,Colorful,shop,facility,None,Cloth Walls,1.0.0,RoomTexWallAbstract00,4873
ancient wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Beige,Brown,folk art,horror,None,Asia,1.0.0,RoomTexWallEgypt00,4936
apple wall,,No,NA,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Red,Red,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallApple00,4916
aqua tile wall,,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Light blue,Light blue,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile01,4930
arched-window wall,,Yes,NA,No,2150,537,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Light blue,shop,expensive,None,Special Walls,1.0.0,RoomSpWallGlass00,5482
autumn wall,,Yes,Random,Yes,NFS,4700,Crafting,Fall seasonal DIY using autumn leaves (caught with net),Not for sale,None,NA,NA,None,NA,Wood,Brown,Orange,garden,None,tree's bounty or leaves ,Special Warm Nature Walls,1.0.0,RoomSpWallAutumun00,4905
backyard-fence wall,,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Light blue,White,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallBackyard00,5481
bamboo wall,,No,NA,Yes,NFS,2400,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Green,Beige,zen-style,None,bamboo,Nature Walls,1.0.0,RoomTexWallBamboo00,4833
bamboo-grove wall,,No,NA,Yes,NFS,4300,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),Not for sale,None,NA,NA,None,NA,Wood,Green,Green,zen-style,None,bamboo,Nature Walls,1.0.0,RoomTexWallChikurin00,4853
bamboo-screen wall,,No,NA,No,1770,442,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Brown,Brown,zen-style,None,None,Wood Walls,1.0.0,RoomTexWallRattan00,4836
bank-vault wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Gray,Gray,facility,expensive,None,Iron Walls,1.0.0,RoomTexWallSafeBox00,4839
basic wall,,Yes,NA,No,600,150,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,White,White,office,facility,None,Special Walls,1.0.0,RoomSpWallSimplePanel00,5559
beaded-curtain wall,,No,NA,No,1720,430,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,White,Orange,shop,kitchen,None,Cloth Walls,1.0.0,RoomTexWallBeadsCurtain00,4877
beige art-deco wall,,No,NA,No,2780,695,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Wood,Beige,Beige,child's room,living room,None,Art Deco Walls,1.0.0,RoomTexWallArtDeco00,4817
beige blossoming wall,,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Red Checkered,Wood,Beige,Brown,fancy,living room,None,Country,1.0.0,RoomTexWallCountry00,4831
beige desert-tile wall,,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Beige,Beige,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco00,4834
black botanical-tile wall,,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Stone,Black,Black,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile03,6877
black hallway wall,,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Black,Black,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall03,6862
black perforated-board wall,,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,Black,Black,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard02,4922
black two-toned tile wall,,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Black,Black,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile06,6859
black-brick wall,,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Black,Black,facility,shop,None,Brick,1.0.0,RoomTexWallBrick02,4929
black-crown wall,,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,Black,Black,expensive,None,None,Crown Walls,1.0.0,RoomTexWallCrown01,4815
blackboard wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Colorful,shop,school,None,Neta Walls,1.0.0,RoomTexWallBlackBoard00,4882
blue blossoming wall,,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,Blue Checkered,Wood,Light blue,Blue,fancy,living room,None,Country,1.0.0,RoomTexWallCountry02,4896
blue camo wall,,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,Blue,Blue,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage01,4884
blue delicate-blooms wall,,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,Blue,Black,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor03,6852
blue desert-tile wall,,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Blue,White,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco01,4835
blue diner wall,,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Blue,Light blue,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner00,7241
blue flower-print wall,,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Light blue,Wood,Blue,Light blue,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower03,6873
blue heart-pattern wall,,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,Blue,Light blue,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart00,4874
blue honeycomb-tile wall,,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,Blue,Blue,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb01,4912
blue intricate wall,,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,Blue,White,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop00,4848
blue molded-panel wall,,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Blue,Brown,expensive,shop,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold01,4871
blue painted-wood wall,,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Wood,Blue,Light blue,fancy,living room,None,Painted Wood,1.0.0,RoomTexWallPaintWood00,4948
blue playroom wall,,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Light blue,Blue,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy00,4888
blue quilt wall,,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,Blue,White,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse01,7277
blue shanty wall,,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,Blue,Blue,garage,None,None,Tin Walls,1.0.0,RoomTexWallTin02,4925
blue simple-cloth wall,,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Wood,Blue,Light blue,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple03,4869
