Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID
acoustic guitar,,Natural,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Beige,Brown,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_0_0,0_0,383
acoustic guitar,,Cherry,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Red,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_1_0,1_0,383
acoustic guitar,,Brown,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Brown,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_2_0,2_0,383
acoustic guitar,,Blue,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Blue,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_3_0,3_0,383
acoustic guitar,,White,Body,NA,NA,Yes,Yes,No,5,NFS,3210,White,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_4_0,4_0,383
acoustic guitar,,Black,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Black,Black,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_5_0,5_0,383
acoustic guitar,,Pink,Body,NA,NA,Yes,Yes,No,5,NFS,3210,Pink,White,1x1,Crafting,,1.0.0,music,None,None,None,Yes,Musical Instrument,Does not play music,No lighting,Not for sale,FtrAcorsticguitar_Remake_6_0,6_0,383
air circulator,,White,NA,NA,NA,No,No,No,NA,1100,275,White,White,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_0_0,0_0,3821
air circulator,,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,Gray,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_1_0,1_0,3821
air circulator,,Pink,NA,NA,NA,No,No,No,NA,1100,275,Pink,Pink,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Does not play music,No lighting,For sale,FtrCirculator_Remake_2_0,2_0,3821
